Price,Close,High,Low,Open,Volume
Ticker,SPCE,SPCE,SPCE,SPCE,SPCE
Date,,,,,
2019-01-02,200.39999389648438,200.60000610351562,199.60000610351562,199.60000610351562,1615
2019-01-03,200.0,200.60000610351562,199.8000030517578,200.3800048828125,5230
2019-01-04,200.8000030517578,200.8000030517578,199.8000030517578,200.8000030517578,15290
2019-01-07,200.60000610351562,201.8000030517578,200.44000244140625,201.8000030517578,2260
2019-01-08,200.8000030517578,202.0,200.39999389648438,201.60000610351562,2395
2019-01-09,201.1999969482422,201.8000030517578,200.60000610351562,201.8000030517578,1110
2019-01-10,200.8000030517578,201.39999389648438,200.39999389648438,200.39999389648438,2280
2019-01-11,200.8000030517578,201.0,200.60000610351562,200.8000030517578,15620
2019-01-14,200.60000610351562,201.0,200.60000610351562,201.0,905
2019-01-15,200.60000610351562,201.1999969482422,200.60000610351562,200.66000366210938,10695
2019-01-16,201.1999969482422,201.60000610351562,200.8000030517578,201.39999389648438,1770
2019-01-17,200.8000030517578,201.1999969482422,200.60000610351562,200.8000030517578,715
2019-01-18,201.1999969482422,201.1999969482422,200.39999389648438,200.8000030517578,6380
2019-01-22,200.60000610351562,201.1999969482422,200.39999389648438,201.1999969482422,15990
2019-01-23,201.1999969482422,201.39999389648438,200.60000610351562,200.60000610351562,1175
2019-01-24,201.1999969482422,201.39999389648438,200.8000030517578,200.8000030517578,41030
2019-01-25,201.0,201.8000030517578,200.8000030517578,201.0,135
2019-01-28,201.60000610351562,201.60000610351562,200.8000030517578,200.8000030517578,1700
2019-01-29,201.0,201.60000610351562,200.8000030517578,201.0,1155
2019-01-30,201.3800048828125,201.3800048828125,201.3800048828125,201.3800048828125,35
2019-01-31,201.0,201.60000610351562,201.0,201.1999969482422,485
2019-02-01,202.0,202.0,201.1999969482422,201.8000030517578,740
2019-02-04,201.1999969482422,202.1999969482422,201.1999969482422,201.97999572753906,750
2019-02-05,201.8000030517578,201.8000030517578,201.1999969482422,201.8000030517578,75
2019-02-06,201.39999389648438,202.0,201.39999389648438,201.39999389648438,3040
2019-02-07,201.8000030517578,202.8000030517578,201.60000610351562,202.0,2635
2019-02-08,202.0,202.8000030517578,201.60000610351562,202.39999389648438,310
2019-02-11,201.60000610351562,202.1999969482422,201.60000610351562,201.8000030517578,515
2019-02-12,201.8000030517578,202.39999389648438,201.8000030517578,202.39999389648438,5255
2019-02-13,202.0,202.10000610351562,202.0,202.0,2580
2019-02-14,201.8000030517578,202.39999389648438,201.39999389648438,201.39999389648438,8865
2019-02-15,202.0,202.17999267578125,202.0,202.0,1005
2019-02-19,202.0,202.8000030517578,201.8000030517578,201.8000030517578,21420
2019-02-20,202.8000030517578,203.0,202.0,202.1999969482422,12875
2019-02-21,203.60000610351562,203.8000030517578,202.0,202.39999389648438,1830
2019-02-22,203.1999969482422,203.36000061035156,202.39999389648438,202.8000030517578,105
2019-02-25,202.1999969482422,203.39999389648438,202.10000610351562,202.39999389648438,945
2019-02-26,202.60000610351562,202.60000610351562,202.1999969482422,202.1999969482422,20
2019-02-27,202.1999969482422,203.0,202.0,203.0,2145
2019-02-28,202.39999389648438,202.39999389648438,202.1999969482422,202.1999969482422,675
2019-03-01,202.1999969482422,202.60000610351562,202.0,202.0,1905
2019-03-04,202.8000030517578,203.1999969482422,202.1999969482422,202.1999969482422,1500
2019-03-05,202.60000610351562,203.1999969482422,202.1999969482422,203.1999969482422,195
2019-03-06,203.0,203.0,202.1999969482422,202.39999389648438,1350
2019-03-07,202.1999969482422,203.39999389648438,202.1999969482422,203.39999389648438,22375
2019-03-08,202.5,203.0,202.5,202.8000030517578,300
2019-03-11,202.8000030517578,203.1999969482422,202.39999389648438,202.39999389648438,4665
2019-03-12,202.8000030517578,203.0,202.60000610351562,203.0,65910
2019-03-13,202.8000030517578,202.8000030517578,202.8000030517578,202.8000030517578,250
2019-03-14,202.8000030517578,203.0,202.8000030517578,202.8800048828125,8840
2019-03-15,202.60000610351562,202.8000030517578,202.60000610351562,202.60000610351562,7915
2019-03-18,202.82000732421875,202.82000732421875,202.39999389648438,202.39999389648438,1720
2019-03-19,203.0,203.0,202.8000030517578,203.0,12370
2019-03-20,202.8000030517578,202.89999389648438,202.60000610351562,202.8000030517578,145
2019-03-21,203.60000610351562,203.60000610351562,202.8000030517578,202.8000030517578,13485
2019-03-22,203.39999389648438,203.39999389648438,203.3000030517578,203.39999389648438,5350
2019-03-25,203.39999389648438,203.60000610351562,203.0,203.60000610351562,3315
2019-03-26,203.1999969482422,203.8000030517578,203.1999969482422,203.39999389648438,10295
