Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2019-01-02,3.377354145050049,3.433387141998996,3.2243790837825164,3.2390071817040265,508752000
2019-01-03,3.1733040809631348,3.351072585396013,3.1658661345099586,3.3171056401141668,705552000
2019-01-04,3.3766109943389893,3.4147926383298968,3.215701894397472,3.2464455895710524,585620000
2019-01-07,3.555370330810547,3.592312504479372,3.382560366760508,3.4338828391926977,709160000
2019-01-08,3.466858386993408,3.6391725442839733,3.394213726416275,3.6369409470710212,786016000
2019-01-09,3.5350403785705566,3.5823957328041938,3.4676023042586586,3.5181806826565007,617260000
2019-01-10,3.600743293762207,3.6094209407982336,3.455206148319894,3.515702116360998,523156000
2019-01-11,3.6899991035461426,3.7128090166786722,3.550660229825054,3.5784286963612915,874764000
2019-01-14,3.7299156188964844,3.755204922511938,3.614130544417186,3.6376843191790336,730168000
2019-01-15,3.7157845497131348,3.80206541950637,3.6974373567757977,3.7626438408571707,617012000
2019-01-16,3.690247058868408,3.776032093517072,3.6847926735360543,3.7430570380961385,470104000
2019-01-17,3.7616519927978516,3.8015694012247274,3.62999909708207,3.657271969281557,493436000
2019-01-18,3.8908255100250244,3.9168586848306943,3.7599164795456503,3.811486760994646,651336000
2019-01-22,3.6885108947753906,3.872229873528204,3.6582630372268445,3.8605770026218598,661552000
2019-01-23,3.701404094696045,3.832561159734769,3.6701645685530946,3.743800898466209,591020000
2019-01-24,3.9133875370025635,3.9309906264719285,3.7812388120318072,3.785949567881503,708972000
2019-01-25,3.970659017562866,3.9887581707047075,3.7512378195258127,3.853882286518272,1154572000
2019-01-28,3.4217336177825928,3.511733548828465,3.247932241351229,3.385535312738956,2511528000
2019-01-29,3.262808084487915,3.4239651624895506,3.2481799895788455,3.3756179208650363,1153932000
2019-01-30,3.406362533569336,3.4207425973968695,3.259337689062975,3.338924462891033,974228000
2019-01-31,3.5640480518341064,3.5997505290379195,3.3813207424160203,3.403138988609483,842852000
2019-02-01,3.588346242904663,3.6394206936105853,3.5350406676663826,3.5826438234105042,625048000
2019-02-04,3.698676586151123,3.735866562606489,3.5821476307038838,3.604213677095452,528592000
2019-02-05,3.7177672386169434,3.7544613817460473,3.676858171779204,3.7105770885521006,542424000
2019-02-06,3.7933876514434814,3.8578505040786135,3.7455364619117537,3.750990847286024,702464000
2019-02-07,3.6550405025482178,3.7492553882133812,3.6121481023155275,3.747024027205041,637120000
