Price,Close,High,Low,Open,Volume
Ticker,LCID,LCID,LCID,LCID,LCID
Date,,,,,
2020-09-18,98.9000015258789,102.5,98.19999694824219,102.5,56430
2020-09-21,98.5999984741211,99.5999984741211,98.5999984741211,99.0,76280
2020-09-22,98.80000305175781,99.5999984741211,98.5,99.5999984741211,128080
2020-09-23,98.5,99.05000305175781,97.9000015258789,99.0,19260
2020-09-24,97.69999694824219,98.5,97.5,98.5,60550
2020-09-25,98.0999984741211,98.5,97.69999694824219,97.69999694824219,69250
2020-09-28,98.30000305175781,99.4000015258789,98.30000305175781,99.0,7230
2020-09-29,97.80000305175781,98.80000305175781,97.5999984741211,98.80000305175781,18960
2020-09-30,97.80000305175781,98.5,97.69999694824219,98.5,54620
2020-10-01,97.5999984741211,98.5,97.4000015258789,98.5,106850
2020-10-02,97.4000015258789,98.0,97.30000305175781,97.30000305175781,392570
2020-10-05,97.0999984741211,98.0,96.9000015258789,98.0,314800
2020-10-06,96.80000305175781,97.5,96.69999694824219,97.4000015258789,190240
2020-10-07,97.0999984741211,97.5,96.69999694824219,97.19999694824219,132540
2020-10-08,97.16999816894531,97.5,97.0,97.0,55030
2020-10-09,97.5,97.69999694824219,97.22000122070312,97.5999984741211,240150
2020-10-12,97.30000305175781,98.19999694824219,97.30000305175781,98.19999694824219,17230
2020-10-13,97.0,98.5,96.69999694824219,98.5,162390
2020-10-14,96.80000305175781,97.69999694824219,96.80000305175781,97.5,217790
2020-10-15,96.80000305175781,97.19999694824219,96.5,96.69999694824219,34800
2020-10-16,96.80000305175781,97.05000305175781,96.69999694824219,96.9000015258789,30500
2020-10-19,96.80000305175781,97.30000305175781,96.7699966430664,97.0999984741211,34870
2020-10-20,96.69999694824219,97.4000015258789,96.69999694824219,97.0999984741211,7820
2020-10-21,96.5999984741211,97.30000305175781,96.5,97.30000305175781,29230
2020-10-22,96.5,96.69999694824219,96.30000305175781,96.5999984741211,144190
2020-10-23,96.30000305175781,97.0,96.30000305175781,96.5,206780
2020-10-26,96.5,96.5999984741211,96.4000015258789,96.5,239480
2020-10-27,96.5,97.0,96.4000015258789,96.5,30410
2020-10-28,96.5,97.4000015258789,96.30000305175781,97.4000015258789,157150
2020-10-29,96.5,97.0,96.19999694824219,96.5999984741211,165290
2020-10-30,96.30000305175781,96.9000015258789,96.0,96.5,115430
2020-11-02,96.30000305175781,96.4000015258789,96.0,96.30000305175781,71670
2020-11-03,96.9000015258789,97.0,96.19999694824219,96.30000305175781,18980
2020-11-04,96.9000015258789,97.30000305175781,96.80000305175781,97.0,50980
2020-11-05,97.69999694824219,97.80000305175781,97.30000305175781,97.5999984741211,153450
2020-11-06,97.19999694824219,97.9000015258789,97.19999694824219,97.9000015258789,144400
2020-11-09,96.69999694824219,97.25,96.5999984741211,97.0,16350
2020-11-10,97.0,98.0,96.5999984741211,96.5999984741211,71470
2020-11-11,96.80000305175781,97.4000015258789,96.5999984741211,96.9000015258789,72450
2020-11-12,97.0,97.19999694824219,96.69999694824219,96.69999694824219,150200
2020-11-13,96.9000015258789,97.4000015258789,96.9000015258789,97.4000015258789,75480
2020-11-16,97.0,97.30000305175781,96.8499984741211,97.0,15130
2020-11-17,97.0999984741211,97.19999694824219,96.9000015258789,97.19999694824219,4600
2020-11-18,97.4000015258789,97.4000015258789,96.69999694824219,97.4000015258789,30170
2020-11-19,97.19999694824219,98.0,97.0,97.5,4450
2020-11-20,97.0999984741211,97.3499984741211,96.9000015258789,97.0999984741211,99590
2020-11-23,97.5,97.9000015258789,97.0999984741211,97.9000015258789,13440
2020-11-24,97.5999984741211,97.80000305175781,97.0,97.80000305175781,5720
2020-11-25,97.5999984741211,97.66000366210938,97.0,97.5999984741211,133240
2020-11-27,98.30000305175781,98.5,97.69999694824219,98.0,41620
2020-11-30,98.80000305175781,99.0,98.26000213623047,98.80000305175781,162370
2020-12-01,98.80000305175781,98.80000305175781,98.19999694824219,98.69999694824219,139430
2020-12-02,98.69999694824219,98.8499984741211,98.4000015258789,98.80000305175781,144100
2020-12-03,98.69999694824219,98.80000305175781,98.5999984741211,98.80000305175781,51320
2020-12-04,98.80000305175781,98.9000015258789,98.5999984741211,98.80000305175781,40540
2020-12-07,99.4000015258789,99.80000305175781,98.69999694824219,98.80000305175781,208530
2020-12-08,98.5999984741211,99.80000305175781,98.30000305175781,99.4000015258789,229640
2020-12-09,99.19999694824219,99.69999694824219,98.4000015258789,98.9000015258789,339430
2020-12-10,99.0999984741211,99.30000305175781,98.80000305175781,99.30000305175781,760680
2020-12-11,99.4000015258789,99.5999984741211,99.0999984741211,99.5999984741211,90000
2020-12-14,99.80000305175781,99.80000305175781,99.4000015258789,99.5999984741211,198250
2020-12-15,99.69999694824219,100.30000305175781,99.0,99.69999694824219,116240
2020-12-16,99.44999694824219,100.0,99.4000015258789,99.5,119160
2020-12-17,99.69999694824219,100.0,99.44999694824219,99.80000305175781,148360
2020-12-18,99.5999984741211,99.80000305175781,99.5,99.80000305175781,86900
2020-12-21,99.69999694824219,100.0,99.5999984741211,99.80000305175781,53280
2020-12-22,100.0,100.30000305175781,99.69999694824219,100.30000305175781,75560
2020-12-23,100.30000305175781,100.30000305175781,99.94999694824219,100.30000305175781,235370
2020-12-24,100.4000015258789,101.0,100.0999984741211,100.80000305175781,209300
2020-12-28,100.80000305175781,101.80000305175781,100.4000015258789,101.0999984741211,406790
2020-12-29,100.5999984741211,101.0999984741211,100.30000305175781,101.0,178460
2020-12-30,100.69999694824219,100.80000305175781,100.19999694824219,100.4000015258789,315270
2020-12-31,100.0999984741211,100.69999694824219,100.0999984741211,100.69999694824219,126620
2021-01-04,100.4000015258789,100.80000305175781,100.19999694824219,100.30000305175781,117270
2021-01-05,100.19999694824219,100.4000015258789,100.0,100.4000015258789,68570
2021-01-06,100.0999984741211,100.19999694824219,100.0,100.0,63660
2021-01-07,100.30000305175781,100.4000015258789,100.0,100.0,107550
2021-01-08,100.30000305175781,100.5,100.19999694824219,100.5,73820
2021-01-11,132.0,140.0,100.30000305175781,100.5,10816750
2021-01-12,141.5,156.3000030517578,130.0,149.89999389648438,11210050
2021-01-13,167.1999969482422,171.1999969482422,145.0,151.0,9409150
2021-01-14,173.60000610351562,201.39999389648438,161.0,187.10000610351562,14098300
2021-01-15,183.60000610351562,210.0,162.0,178.10000610351562,18485420
2021-01-19,179.0,186.89999389648438,175.0,180.5,6833640
2021-01-20,180.60000610351562,187.3000030517578,178.0,183.5,2762770
2021-01-21,178.10000610351562,182.5,171.10000610351562,180.89999389648438,2359050
2021-01-22,223.5,226.6999969482422,180.0,184.89999389648438,9416450
2021-01-25,249.5,273.0,185.5,267.70001220703125,11736970
2021-01-26,244.39999389648438,246.60000610351562,223.6999969482422,243.6999969482422,4156220
2021-01-27,211.5,233.3000030517578,204.5,212.89999389648438,4496080
2021-01-28,223.3000030517578,228.8000030517578,200.10000610351562,213.39999389648438,3333410
2021-01-29,228.8000030517578,243.5,212.10000610351562,217.0,3428040
2021-02-01,252.0,259.70001220703125,227.3000030517578,236.39999389648438,4323190
2021-02-02,321.3999938964844,351.79998779296875,264.6000061035156,279.79998779296875,10019670
2021-02-03,294.8999938964844,345.0,275.75,323.5,8528120
2021-02-04,302.20001220703125,314.5,261.29998779296875,290.0,4538520
2021-02-05,346.5,360.0,307.0,309.0,6666530
2021-02-08,328.79998779296875,349.79998779296875,303.0,341.70001220703125,3568430
2021-02-09,333.1000061035156,336.8999938964844,302.20001220703125,317.0,2897330
2021-02-10,328.70001220703125,344.8999938964844,300.0,320.0,3335550
2021-02-11,315.0,331.6000061035156,312.0,322.5,2635000
2021-02-12,399.79998779296875,413.70001220703125,335.1000061035156,350.3999938964844,6917590
2021-02-16,527.0,550.0,365.20001220703125,382.70001220703125,9688340
2021-02-17,562.2999877929688,595.0,503.0,546.7000122070312,6390770
2021-02-18,580.5,648.5999755859375,555.5,558.0999755859375,7698270
2021-02-19,529.4000244140625,619.7000122070312,503.20001220703125,600.9000244140625,5999790
2021-02-22,573.7000122070312,632.0,560.7999877929688,628.7000122070312,8815290
2021-02-23,352.1000061035156,439.3999938964844,300.0,350.20001220703125,19044790
2021-02-24,287.0,357.20001220703125,278.5,356.3999938964844,14247190
2021-02-25,278.20001220703125,323.79998779296875,267.1000061035156,297.1000061035156,8226600
2021-02-26,307.5,325.20001220703125,285.0,312.5,6887100
2021-03-01,306.29998779296875,325.3999938964844,298.29998779296875,324.8999938964844,4215380
2021-03-02,277.70001220703125,303.8999938964844,265.6000061035156,300.0,3567670
2021-03-03,242.0,279.70001220703125,239.3000030517578,276.5,4388420
2021-03-04,243.39999389648438,255.39999389648438,214.35000610351562,238.89999389648438,6223560
2021-03-05,244.0,251.8000030517578,204.0,245.1999969482422,5389340
2021-03-08,220.89999389648438,251.8000030517578,220.0,243.39999389648438,2981450
2021-03-09,244.60000610351562,250.0,228.0,232.60000610351562,3121490
2021-03-10,247.0,272.6000061035156,243.10000610351562,251.0500030517578,3294740
2021-03-11,268.3999938964844,271.79998779296875,253.10000610351562,257.8999938964844,2445940
2021-03-12,267.70001220703125,279.8999938964844,251.0,255.0,2022540
2021-03-15,286.8999938964844,288.0,270.29998779296875,274.6000061035156,2393980
2021-03-16,311.0,329.70001220703125,292.0,310.6000061035156,6758870
2021-03-17,295.0,306.79998779296875,281.5,296.8999938964844,4091710
2021-03-18,269.0,294.20001220703125,268.0,288.0,2212930
2021-03-19,268.79998779296875,274.5,257.8999938964844,266.20001220703125,1957540
2021-03-22,261.5,276.29998779296875,260.20001220703125,274.79998779296875,1614720
2021-03-23,240.5,262.20001220703125,237.5,261.5,2301260
2021-03-24,225.60000610351562,244.8000030517578,222.39999389648438,244.5,2404870
2021-03-25,240.3000030517578,242.39999389648438,210.1999969482422,217.10000610351562,3077980
2021-03-26,230.1999969482422,239.1999969482422,220.6999969482422,230.60000610351562,1817170
2021-03-29,213.5,229.60000610351562,213.5,228.8000030517578,2166360
2021-03-30,235.10000610351562,236.5,210.6999969482422,211.8000030517578,1820120
2021-03-31,231.8000030517578,242.27999877929688,227.8000030517578,240.60000610351562,1529890
2021-04-01,237.8000030517578,244.6999969482422,232.10000610351562,242.5,1283980
2021-04-05,230.0,246.10000610351562,230.0,245.5,1323820
