Date,Ticker,NewsSentiment
2017-12-17,SHOP,0.0
2017-12-18,COIN,-0.296
2017-12-18,SHOP,0.0
2017-12-19,COIN,0.4168
2017-12-21,SHOP,0.4939
2017-12-22,COIN,0.0
2017-12-25,COIN,0.0258
2017-12-25,SHOP,-0.0663
2017-12-27,COIN,0.0
2017-12-27,SHOP,0.0
2017-12-28,COIN,-0.01895000000000001
2017-12-28,U,-0.4215
2017-12-31,SHOP,-0.128
2017-12-31,TSLA,0.0
2018-01-02,SHOP,-0.1531
2018-01-04,COIN,0.6249
2018-01-05,COIN,0.5574
2018-01-08,COIN,0.1027
2018-01-08,TSLA,0.0
2018-01-09,SHOP,-0.21075
2018-01-10,SHOP,-0.16715
2018-01-11,COIN,-0.18076666666666666
2018-01-11,SHOP,-0.128
2018-01-14,SHOP,0.1027
2018-01-15,COIN,0.0
2018-01-16,COIN,-0.4215
2018-01-16,NVDA,0.1779
2018-01-17,COIN,0.6715
2018-01-17,SHOP,0.0
2018-01-18,COIN,0.2198
2018-01-18,SHOP,0.0
2018-01-19,SHOP,0.0
2018-01-22,U,0.296
2018-01-23,COIN,-0.1027
2018-01-23,SNOW,0.5319
2018-01-26,COIN,-0.1027
2018-01-26,SHOP,0.3612
2018-01-26,TSLA,0.5423
2018-01-28,U,0.4215
2018-01-29,COIN,0.0
2018-01-31,U,0.5106
2018-02-01,NVDA,0.0
2018-02-02,SHOP,0.1406
2018-02-03,COIN,-0.030949999999999978
2018-02-03,SHOP,0.0
2018-02-05,COIN,0.3818
2018-02-06,COIN,0.0
2018-02-08,COIN,-0.0516
2018-02-08,NVDA,0.0
2018-02-08,SHOP,0.0
2018-02-08,TSLA,-0.3182
2018-02-09,U,0.5423
2018-02-19,COIN,0.0
2018-02-20,PLUG,-0.3182
2018-02-21,GME,-0.4939
2018-02-21,SHOP,0.0772
2018-02-26,SHOP,0.0
2018-02-27,COIN,-0.1366
2018-03-01,U,0.8225
2018-03-03,COIN,-0.1027
2018-03-03,SHOP,0.5719
2018-03-03,TSLA,0.0
2018-03-05,COIN,-0.30275
2018-03-05,NVDA,0.3612
2018-03-05,SHOP,-0.6249
2018-03-07,PLUG,0.0
2018-03-07,SHOP,-0.296
2018-03-08,SHOP,-0.3321
2018-03-09,SNOW,-0.3182
2018-03-12,SHOP,0.0
2018-03-12,U,0.1531
2018-03-13,COIN,-0.2758666666666667
2018-03-13,SHOP,-0.4767
2018-03-14,COIN,-0.296
2018-03-15,COIN,0.3182
2018-03-18,COIN,0.0
2018-03-19,SHOP,-0.4939
2018-03-19,U,0.0
2018-03-20,COIN,-0.6486
2018-03-20,SHOP,0.0
2018-03-20,SQ,-0.1027
2018-03-20,TSLA,-0.2023
2018-03-21,NET,0.4404
2018-03-21,TSLA,0.0
2018-03-22,SNOW,0.08895
2018-03-22,TSLA,0.2787
2018-03-23,SHOP,-0.68
2018-03-23,SQ,0.128
2018-03-23,TSLA,-0.1027
2018-03-23,U,0.0
2018-03-26,SHOP,0.1779
2018-03-26,U,-0.296
2018-03-27,COIN,0.6486
2018-03-27,NVDA,0.6369
2018-03-27,SHOP,-0.0258
2018-03-27,TSLA,0.0
2018-03-28,GME,0.6908
2018-03-28,NET,-0.3182
2018-03-28,TSLA,-0.4223
2018-03-29,AMC,0.0
2018-03-29,GME,0.0
2018-03-29,NVDA,-0.011200000000000002
2018-03-29,TSLA,0.017424999999999996
2018-03-30,NET,0.2202
2018-03-30,SNOW,0.0
2018-03-31,SHOP,0.34
2018-04-02,COIN,-0.12646666666666667
2018-04-02,TSLA,-0.10206666666666668
2018-04-03,AMD,0.0
2018-04-03,SHOP,-0.5574
2018-04-03,TSLA,-0.14049999999999999
2018-04-04,TSLA,-0.5994
2018-04-04,U,-0.6705
2018-04-05,SHOP,-0.4767
2018-04-05,U,0.4215
2018-04-06,NET,-0.1027
2018-04-06,SHOP,0.05135
2018-04-08,COIN,-0.7096
2018-04-09,AMD,0.0
2018-04-09,GME,0.0
2018-04-09,TSLA,0.0
2018-04-10,COIN,-0.296
2018-04-10,GME,0.0516
2018-04-10,SHOP,0.0
2018-04-10,TSLA,-0.74285
2018-04-11,COIN,-0.2023
2018-04-11,SHOP,-0.064
2018-04-11,TSLA,0.128
2018-04-11,U,0.0
2018-04-12,TSLA,-0.11676666666666667
2018-04-12,U,-0.4404
2018-04-13,NET,-0.6486
2018-04-13,PLUG,0.0
2018-04-13,SHOP,-0.7717
2018-04-14,TSLA,0.4877
