Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14
2020-12-09,26.6299991607666,28.850000381469727,25.32999992370605,28.68000030517578,79634700,22.20250005722046,15.107800025939945,64.19864567280582
2020-12-10,27.040000915527344,28.040000915527344,25.149999618530277,25.541000366210938,57774800,22.756500101089475,15.458600044250492,64.91587210470632
2020-12-11,27.200000762939453,28.270000457763672,26.059999465942383,27.149999618530277,52764400,23.387500143051145,15.81340005874634,65.20878932789657
2020-12-14,27.239999771118164,28.26000022888184,26.729999542236328,28.26000022888184,44734500,23.95950012207031,16.174200057983402,65.28681598681594
2020-12-15,26.43000030517578,27.100000381469727,25.520000457763672,26.81999969482422,49273200,24.48450012207031,16.52220006942749,62.242560398519515
2020-12-16,25.920000076293945,26.15999984741211,25.11000061035156,25.709999084472656,44013400,24.88800010681152,16.842600078582766,60.334927769554014
2020-12-17,27.229999542236328,27.450000762939453,26.049999237060547,26.520000457763672,53829800,25.354500102996827,17.187200069427494,63.4349110927265
2020-12-18,25.96999931335449,26.850000381469727,25.799999237060547,26.270000457763672,71042900,25.704000091552732,17.50660005569458,58.6842216049407
2020-12-21,28.51000022888184,28.700000762939453,25.399999618530277,26.190000534057617,76729100,26.22200012207031,17.877800064086912,64.46209549140494
2020-12-22,28.040000915527344,29.420000076293945,26.81999969482422,29.030000686645508,66033100,26.572000122070314,18.240800075531006,62.71439350722859
2020-12-23,28.690000534057617,29.38999938964844,28.049999237060547,28.950000762939453,58772200,26.815500164031985,18.625200080871583,64.16154116870304
2020-12-24,27.75,29.15999984741211,27.520000457763672,28.79800033569336,26306800,26.75050020217896,18.993400077819825,60.50426856732735
2020-12-28,25.6299991607666,28.59000015258789,25.399999618530277,28.38999938964844,55878700,26.649000167846683,19.307800064086916,53.14644483605912
2020-12-29,24.65999984741211,26.18199920654297,24.34000015258789,25.75,47302400,26.52650012969971,19.606800060272217,50.141863847748915
2020-12-30,25.100000381469727,25.90999984741211,24.6299991607666,24.96999931335449,34586700,26.4980001449585,19.917400074005126,51.48179018936641
2020-12-31,23.549999237060547,24.71999931335449,23.520000457763672,24.6299991607666,39922500,26.55000009536743,20.20300004959107,46.71859719830701
2021-01-04,23.3700008392334,24.5,22.5,23.90999984741211,44970400,26.51700010299683,20.486400070190435,46.18420596708079
2021-01-05,24.600000381469727,24.670000076293945,22.88999938964844,23.18000030517578,29050400,26.554500102996826,20.78480007171631,50.3625126404288
2021-01-06,23.540000915527344,24.459999084472656,23.25,24.1200008392334,32732900,26.284500122070312,21.065800094604498,46.97745967467579
2021-01-07,25.0,25.190000534057617,23.670000076293945,24.020000457763672,32240000,26.10500011444092,21.366800098419194,51.784485998118924
2021-01-08,25.200000762939453,26.440000534057617,24.700000762939453,25.700000762939453,41313800,26.033500194549564,21.65180011749268,52.42083669220757
2021-01-11,25.93000030517578,26.600000381469727,24.309999465942383,24.61000061035156,32609000,25.978000164031986,21.953400115966797,54.767423713638834
2021-01-12,26.18000030517578,26.420000076293945,25.51000022888184,26.34000015258789,26887200,25.9270001411438,22.26200012207031,55.57548566264857
2021-01-13,25.5,27.43000030517578,25.1299991607666,25.709999084472656,51216600,25.840000152587894,22.569400119781495,52.811863863055535
2021-01-14,24.920000076293945,25.6200008392334,24.3700008392334,25.450000762939453,32908000,25.7645001411438,22.857000122070314,50.50494277657753
2021-01-15,25.63999938964844,28.0,25.459999084472656,26.26000022888184,92285500,25.750500106811522,23.159800109863284,53.23582725433766
2021-01-19,26.6200008392334,27.540000915527344,26.0,26.809999465942383,48675800,25.720000171661372,23.477800121307375,56.73494142805817
2021-01-20,26.34000015258789,27.299999237060547,25.700000762939453,27.290000915527344,37459000,25.738500213623045,23.767000122070314,55.458128910040436
2021-01-21,25.979999542236328,26.68000030517578,25.299999237060547,26.420000076293945,29891400,25.612000179290774,24.010000114440917,53.78224372564641
2021-01-22,32.58000183105469,32.650001525878906,25.81999969482422,25.850000381469727,156844700,25.83900022506714,24.368200149536133,71.05291996942988
2021-01-25,36.22999954223633,39.58000183105469,29.559999465942383,34.459999084472656,191345300,26.216000175476076,24.81280014038086,76.32243563691313
