Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14
2019-03-14,2.737499952316284,2.8350000381469727,2.7249999046325684,2.827500104904175,11358400,2.766045939922333,3.1071851825714094,41.059218553551425
2019-03-15,2.765000104904175,2.7799999713897705,2.7249999046325684,2.747499942779541,14149600,2.7673184037208562,3.0992796611785876,43.4732824469116
2019-03-18,2.7674999237060547,2.7925000190734863,2.744999885559082,2.7725000381469727,9804800,2.7675068736076365,3.091907725334166,43.69902161640139
2019-03-19,2.740000009536743,2.809999942779541,2.7249999046325684,2.7674999237060547,12359600,2.7691010117530834,3.0730082464218125,41.72497791548558
2019-03-20,2.625,2.740000009536743,2.5999999046325684,2.740000009536743,16415600,2.764945149421693,3.0506481456756576,34.67142454956052
2019-03-21,2.637500047683716,2.682499885559082,2.587500095367432,2.617500066757202,12821200,2.7634695529937754,3.026942186355589,35.9390864717322
2019-03-22,2.612499952316284,2.664999961853028,2.609999895095825,2.6624999046325684,13156000,2.7566334128379824,3.001914124488829,34.49730288251262
2019-03-25,2.5350000858306885,2.622499942779541,2.5174999237060547,2.615000009536743,17944800,2.743746113777161,2.975432782173156,30.422787013392725
2019-03-26,2.587500095367432,2.609999895095825,2.5225000381469727,2.5274999141693115,14140400,2.7323957324028014,2.9505333900451656,35.94235341362005
2019-03-27,2.572499990463257,2.634999990463257,2.5625,2.5924999713897705,10424800,2.719932651519775,2.9263495397567745,35.085926165633
2019-03-28,2.547499895095825,2.622499942779541,2.5174999237060547,2.5899999141693115,12489200,2.705856871604919,2.9021976423263545,33.646924196432664
2019-03-29,2.539999961853028,2.5899999141693115,2.5374999046325684,2.552500009536743,11676000,2.690801608562469,2.8771703529357904,33.20691936378959
2019-04-01,2.5924999713897705,2.6050000190734863,2.509999990463257,2.572499990463257,17662800,2.680547511577606,2.852757830619812,39.200655772293764
2019-04-02,2.525000095367432,2.602499961853028,2.5225000381469727,2.5924999713897705,34680800,2.6665557146072385,2.826221561431885,34.8682902239915
2019-04-03,2.407500028610229,2.507499933242798,2.2049999237060547,2.2149999141693115,106391600,2.647172510623932,2.8005270004272464,28.884042557182514
2019-04-04,2.507499933242798,2.515000104904175,2.4124999046325684,2.434999942779541,31671200,2.632426607608795,2.7758168983459477,38.55003983554196
2019-04-05,2.4649999141693115,2.502500057220459,2.447499990463257,2.490000009536743,22974400,2.6230513811111447,2.748709297180176,36.29232727945865
2019-04-08,2.484999895095825,2.5199999809265137,2.432499885559082,2.447499990463257,18204000,2.6111701130867004,2.7215181064605716,38.12868918177536
2019-04-09,2.4549999237060547,2.5,2.452500104904175,2.462500095367432,11914000,2.5952499866485597,2.695661282539368,36.432286669926064
2019-04-10,2.492500066757202,2.502500057220459,2.470000028610229,2.470000028610229,11228800,2.579874992370606,2.69096206188202,40.02438728295111
