Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,google_trend_score,Target
2019-03-14,135.6731719970703,136.89123507663265,132.581170117264,135.76686035887147,109350,132.97360496520997,130.2600534057617,54.64336471772952,32,1
2019-03-15,135.86053466796875,138.1092550402186,135.11095644488032,135.57944104718365,176130,133.45823287963867,130.59439926147462,54.88710997040241,32,1
2019-03-18,140.54537963867188,140.8264732573523,134.73617347300984,135.57944003203573,323920,134.1124011993408,130.9910153198242,60.590041442901786,31,0
2019-03-19,138.20297241210938,142.7004279330594,136.98490945687044,141.57606762707613,113680,134.92211990356446,131.25205001831057,56.728583564432405,31,1
2019-03-20,140.17062377929688,141.95085986740764,137.6407950371148,137.82820034914164,130290,135.61300888061524,131.44521835327149,59.08731487237811,31,1
2019-03-21,144.4806671142578,146.07351210800107,140.0769141443733,140.0769141443733,156200,136.50553588867186,131.6413996887207,63.74873925556346,31,0
2019-03-22,141.1075897216797,145.1365464860068,140.92018441420782,143.82479511580974,113590,137.15084304809568,131.8847334289551,58.16351451273168,31,1
2019-03-25,143.35629272460938,146.16720042509192,140.63908766628262,140.92016699871814,135170,138.014879989624,132.21371078491217,60.63935004604059,34,0
2019-03-26,139.9832000732422,145.79242085430022,137.73447959458602,144.94913995204206,171520,138.7472343444824,132.4197679138184,55.348190261461234,34,0
2019-03-27,139.04624938964844,141.20128180935828,136.61013759533915,139.88953040450082,127440,139.28947448730466,132.58860000610352,53.9402556519404,34,0
2019-03-28,138.39036560058594,140.0769132347218,136.89122326792298,138.6714592557781,125060,139.7249755859375,132.7110389709473,52.9253225412893,34,1
2019-03-29,139.1399383544922,140.07690763634062,137.82818707871104,138.76515636055947,75110,139.2875114440918,132.8872904968262,53.99079140302679,34,1
2019-04-01,140.4517059326172,141.85716001852202,139.04625184671232,140.0769238951832,108660,139.14671325683594,133.0879286193848,55.87307416771539,41,0
2019-04-02,138.4840545654297,140.54538400476304,136.9848980839059,140.54538400476304,118960,138.8520736694336,133.18451187133792,52.40948825868908,41,0
2019-04-03,136.89120483398438,139.79580075445455,136.14162662008343,139.13992517867194,116730,138.70424804687502,133.4248570251465,49.722371312747896,41,1
2019-04-04,140.63909912109375,140.8264901236521,137.07861288441725,137.73448854187993,167270,138.89632720947264,133.6883987426758,55.503347708228524,41,0
2019-04-05,140.35801696777344,141.66976839016587,138.765171870006,140.63911064314846,98700,139.01813430786137,133.86128265380864,54.99265259636804,41,1
2019-04-08,152.81968688964844,157.410830390567,143.5436829491377,143.82477657709543,361920,139.7958190917969,134.3277664184571,68.72989401909483,30,0
2019-04-09,151.32054138183594,153.56926197458588,149.071820789086,150.85205673359496,115790,140.60629806518557,134.76426727294924,66.11549660788039,30,0
2019-04-10,151.32054138183594,152.16380802986296,149.63399378876505,151.41424403029086,92780,141.4120918273926,135.1674932861328,66.1154966078804,30,0
2019-04-11,151.03945922851562,152.91339796409775,150.00880150215622,151.22685024267025,92490,142.18040618896484,135.57803833007813,65.57310801122614,30,1
2019-04-12,153.94406127929688,154.2251549331371,149.07182370179558,149.91509036629915,146850,143.08458251953127,135.948698425293,68.45316530290772,30,1
2019-04-15,154.5999298095703,155.25580544026823,150.38356808749114,154.03774252781983,179040,143.7873100280762,136.4175122070313,69.08213204954424,31,1
2019-04-16,155.4431915283203,156.47386341332225,152.35120446734652,154.59992492933037,167910,144.64932098388675,136.87361328125004,69.91271901659483,31,0
2019-04-17,155.4431915283203,159.94064674930405,153.19447106633646,155.34950318233032,205180,145.4129493713379,137.3814758300782,69.91271901659483,31,0
2019-04-18,150.38357543945312,155.34951568096935,149.35290347152852,155.34951568096935,118270,145.70809478759767,137.83990707397464,58.90169065831282,31,0
2019-04-22,142.9815216064453,149.4466040896353,142.32563165558568,149.4466040896353,232420,145.80179138183595,138.23718215942387,47.191697413139785,53,0
